"","seqnames","start","end","width","strand","Conc","Conc_CFUE","Conc_ERY","Fold","p.value","FDR"
"1","chr1",132358589,132358989,401,"*",8.67334096210556,5.90678663608953,9.56323893252082,-3.54685689944403,1.25097129993663e-73,5.08232110025253e-69
"2","chr6",72099330,72099730,401,"*",9.51062618103514,7.52043032464175,10.3165750563967,-2.73158230195363,9.11350699631383e-72,1.85127224369621e-67
"3","chr1",90281257,90281657,401,"*",8.48560712624301,5.83263370724994,9.36610297886116,-3.42475477047031,1.56949288372834e-67,2.12545957957438e-63
"4","chr1",132357334,132357734,401,"*",8.64236355876043,6.2763820454086,9.49517327486162,-3.14419581897905,3.13360099430492e-66,3.18272018989065e-62
"5","chr11",31824431,31825078,648,"*",9.78863427762715,8.30506503059929,10.5044371731693,-2.16343986719005,4.81537756840426e-63,3.9126868894312e-59
"6","chr3",84035706,84036106,401,"*",9.02310364434913,7.20604241127688,9.80232261153425,-2.54191398085932,3.55492157662092e-60,2.40709664822297e-56
"7","chr1",132356787,132357187,401,"*",8.40394264178243,5.84565370538517,9.275962256787,-3.3031203093556,2.61316170521367e-59,1.51664172282451e-55
"8","chr1",132355844,132356244,401,"*",9.61111097361741,8.08672131471416,10.3356507237415,-2.21031218656454,1.14987272519081e-56,5.8394849007909e-53
"9","chr14",70663528,70664309,782,"*",8.39857450744877,5.96896238605335,9.25805485254049,-3.16376849897211,2.26277055898624e-55,1.02143977222149e-51
"10","chr13",36200431,36200831,401,"*",8.16453113467207,5.84637656807992,9.01210815039127,-3.08100566595206,5.75039858889884e-50,2.33621443471193e-46
"11","chr4",41352730,41353130,401,"*",8.26388474976862,6.12394853106601,9.09016693750765,-2.86996937131946,1.53816350967925e-48,5.63935093321424e-45
"12","chr2",152817516,152818177,662,"*",10.0847699029796,8.92744060179882,10.7185807609278,-1.75957715413275,1.66569550295545e-48,5.63935093321424e-45
"13","chr11",32297037,32297721,685,"*",10.1017860292036,8.93693618747277,10.7377626189079,-1.77351418276117,2.41340604163376e-47,7.54226517334266e-44
"14","chr3",152355337,152355830,494,"*",9.02501540205002,7.48760195902847,9.75228019263092,-2.21129557063736,6.40465610969015e-46,1.85858545548844e-42
"15","chr1",132374194,132374594,401,"*",9.66660422869797,8.38100540654339,10.3354490522072,-1.91595751625901,4.13976832671039e-45,1.12124245206175e-41
"16","chr4",41353277,41353677,401,"*",7.6546533187387,4.59861776262914,8.5652033542353,-3.81431343422507,4.86338465816282e-45,1.23490455316988e-41
"17","chr19",41495616,41496016,401,"*",9.51735219867171,8.26930462694464,10.1763472946916,-1.87250484871544,4.10182883407689e-44,9.80264706129658e-41
"18","chr6",56905007,56905407,401,"*",9.31762038502283,7.95346312807115,10.0060592290688,-2.01528855755858,9.56389230846233e-44,2.158623626755e-40
"19","chr3",100429642,100430042,401,"*",9.12432133416082,7.69861057096147,9.82721293989969,-2.08107379052894,2.21053636312808e-43,4.7267084644634e-40
"20","chr12",31996839,31997239,401,"*",8.68326019791382,7.09188288709053,9.42150533844569,-2.26194563978965,3.55272176607018e-42,7.21682135950665e-39
"21","chr11",62549461,62550225,765,"*",9.09150110364772,7.64007446739794,9.80020955342573,-2.11709660790826,2.01925165427707e-41,3.9064827123007e-38
"22","chr14",70707883,70708283,401,"*",9.77459275872254,8.69513166107968,10.3850986052398,-1.65471311812127,1.55569319124362e-38,2.87287033093885e-35
"23","chr2",132689733,132690338,606,"*",10.4098426336833,9.48667921804573,10.9682558315274,-1.45034287996353,3.09839257038337e-38,5.47297369378109e-35
"24","chr5",139794857,139795257,401,"*",9.56602944621658,8.2748173317851,10.2363190752717,-1.92255167302673,2.17162202826805e-36,3.67610367260192e-33
"25","chr8",70272908,70273308,401,"*",8.0042722025169,6.06366635774354,8.80293905924167,-2.62793459510247,2.14048963166588e-35,3.47846689062759e-32
"26","chr9",66179770,66180170,401,"*",10.45372040466,9.49002656744865,11.0263749363525,-1.50398780082893,3.12120147459741e-35,4.87711739647957e-32
"27","chr18",56893422,56893822,401,"*",7.99291912694155,6.19503449287992,8.76894226269091,-2.47124324261436,3.49528962286585e-35,5.25937524104337e-32
"28","chr18",82522405,82523091,687,"*",8.41777477322962,6.91731690093477,9.13722880581738,-2.16076527084573,5.87334600954526e-35,8.52201529749269e-32
"29","chr17",71204012,71204704,693,"*",10.2595309281426,9.17294142539003,10.8722389790997,-1.66454790040952,1.88399598284257e-34,2.639348441205e-31
"30","chr6",85452905,85453305,401,"*",8.50879698300107,7.10020034690928,9.20774625564637,-2.0476251835686,2.39573953243043e-34,3.2443903328017e-31
"31","chr6",38991955,38992355,401,"*",8.44139355292296,6.98874025491983,9.15037630753633,-2.09304848202612,2.26443124186431e-33,2.96764671171681e-30
"32","chr12",111535035,111535678,644,"*",10.4169960965745,9.56891086162073,10.9475447842944,-1.34212219741155,1.3856286481146e-32,1.75918547146724e-29
"33","chr11",116579988,116580388,401,"*",10.0181843242542,9.01071130923259,10.6056292525634,-1.55890543547785,5.53883279239565e-32,6.81897454111085e-29
"34","chr4",152010256,152010656,401,"*",8.88744617817169,7.65406393929067,9.54250562536287,-1.84278240402434,7.66009527753264e-32,9.12331022669019e-29
"35","chr18",68227455,68227855,401,"*",8.10010963676837,6.54150009970911,8.83174637672661,-2.20728978462805,7.85969571797466e-32,9.12331022669019e-29
"36","chr13",98896347,98896857,511,"*",8.61041948827119,7.32472712280207,9.27928844686805,-1.90231344539665,2.33503766441821e-31,2.6351548664533e-28
"37","chr5",24152192,24152592,401,"*",7.08364531971923,4.46024832591983,7.96155823747056,-3.28891198144054,4.06312559578054e-31,4.46142171837232e-28
"38","chr7",27454442,27454842,401,"*",8.41076408548344,7.01302102077983,9.10718316566965,-2.02654811400168,8.51783358450109e-31,9.10668486940858e-28
"39","chr1",90274966,90275536,571,"*",9.54799621136958,8.59061109790488,10.1184693558577,-1.48477006614025,1.63950571109213e-30,1.70790252627026e-27
