chr1_195371485_195371635	150	150	376.5	2.51	2.51
chr1_4140749_4140899	150	150	535.5	3.57	3.57
chr1_4416865_4417015	150	150	615	4.1	4.1
chr1_4524829_4525067	238	238	740.18	3.11	3.11
chr1_4614136_4614286	150	150	318	2.12	2.12
chr1_4689202_4689407	205	205	759.525	3.705	3.705
chr1_4768485_4768635	150	150	892.5	5.95	5.95
chr1_4771071_4771221	150	150	1680	11.2	11.2
chr1_4780180_4780330	150	150	615	4.1	4.1
chr1_4785469_4785619	150	150	1309.5	8.73	8.73
chr1_4785681_4785831	150	150	5670	37.8	37.8
chr1_4786130_4786280	150	150	2880	19.2	19.2
chr1_4807510_4807919	409	409	6046.38	14.7833	14.7833
chr1_4808058_4808208	150	150	1131	7.54	7.54
chr1_4857676_4857826	150	150	15825	105.5	105.5
chr1_4857958_4858108	150	150	1111.5	7.41	7.41
chr1_4858238_4858388	150	150	3360	22.4	22.4
chr1_4858518_4858668	150	150	1230	8.2	8.2
chr1_4873712_4873862	150	150	1191	7.94	7.94
chr1_4873919_4874069	150	150	2025	13.5	13.5
chr1_4874159_4874309	150	150	7545	50.3	50.3
chr1_4880616_4880766	150	150	2940	19.6	19.6
chr1_4894362_4894512	150	150	516	3.44	3.44
chr1_5019670_5019820	150	150	496.5	3.31	3.31
chr1_5020315_5020465	150	150	357	2.38	2.38
chr1_5082778_5082928	150	150	477	3.18	3.18
chr1_5083023_5083173	150	150	1725	11.5	11.5
chr1_5083227_5083567	340	340	1815.6	5.34	5.34
chr1_5380916_5381066	150	150	318	2.12	2.12
chr1_6151312_6151462	150	150	436.5	2.91	2.91
chr1_6214009_6214251	242	242	1824.68	7.54	7.54
chr1_6214253_6214495	242	242	5457.1	22.55	22.55
chr1_6214498_6214648	150	150	12570	83.8	83.8
chr1_6214857_6215007	150	150	2100	14	14
chr1_6215135_6215285	150	150	873	5.82	5.82
chr1_6215458_6215608	150	150	2040	13.6	13.6
chr1_6272331_6272481	150	150	535.5	3.57	3.57
chr1_6360882_6361032	150	150	436.5	2.91	2.91
chr1_6429943_6430093	150	150	436.5	2.91	2.91
chr1_6529745_6529895	150	150	357	2.38	2.38
chr1_6834328_6834478	150	150	477	3.18	3.18
chr1_7088491_7088641	150	150	4440	29.6	29.6
chr1_7088760_7088910	150	150	24120	160.8	160.8
chr1_7089544_7089694	150	150	1032	6.88	6.88
chr1_7177638_7177788	150	150	1369.5	9.13	9.13
chr1_7397262_7397509	247	247	2956.59	11.97	11.97
chr1_7397550_7397758	208	208	18168.8	87.35	87.35
chr1_7397874_7398024	150	150	16050	107	107
chr1_7525258_7525408	150	150	417	2.78	2.78
chr1_8297551_8297701	150	150	477	3.18	3.18
chr1_8380410_8380560	150	150	456	3.04	3.04
chr1_9215107_9215257	150	150	436.5	2.91	2.91
chr1_9544931_9545081	150	150	1950	13	13
chr1_9545182_9545332	150	150	23595	157.3	157.3
chr1_9594157_9594307	150	150	496.5	3.31	3.31
chr1_9613295_9613445	150	150	436.5	2.91	2.91
chr1_9699727_9699877	150	150	634.5	4.23	4.23
chr1_9699887_9700037	150	150	873	5.82	5.82
chr1_9700288_9700438	150	150	5595	37.3	37.3
chr1_9700477_9700705	228	228	5392.2	23.65	23.65
chr1_9703189_9703339	150	150	774	5.16	5.16
chr1_9744957_9745107	150	150	1590	10.6	10.6
chr1_9747834_9747984	150	150	1545	10.3	10.3
chr1_9748080_9748230	150	150	1725	11.5	11.5
chr1_9748379_9748613	234	234	48484.8	207.2	207.2
chr1_9772867_9773017	150	150	3240	21.6	21.6
chr1_9776422_9776572	150	150	6990	46.6	46.6
chr1_9780518_9780668	150	150	13560	90.4	90.4
chr1_9783617_9783767	150	150	1890	12.6	12.6
