chr1_195232734_195232878	144	144	2059.2	14.3	14.3
chr1_4417979_4418104	125	125	2200	17.6	17.6
chr1_4433674_4433779	105	105	605.85	5.77	5.77
chr1_4490611_4490736	125	125	4325	34.6	34.6
chr1_4492665_4492805	140	140	691.6	4.94	4.94
chr1_4496117_4496267	150	150	1153.5	7.69	7.69
chr1_4496970_4497099	129	129	957.18	7.42	7.42
chr1_4571658_4571808	150	150	741	4.94	4.94
chr1_4571913_4572061	148	148	4144	28	28
chr1_4623170_4623309	139	139	763.11	5.49	5.49
chr1_4623401_4623549	148	148	2841.6	19.2	19.2
chr1_4689203_4689344	141	141	1355.01	9.61	9.61
chr1_4746972_4747122	150	150	1236	8.24	8.24
chr1_4748101_4748393	292	292	4194.09	14.3633	14.3633
chr1_4771062_4771210	148	148	1098.16	7.42	7.42
chr1_4774857_4775003	146	146	962.14	6.59	6.59
chr1_4775045_4775408	363	363	12995.4	35.8	35.8
chr1_4775488_4775633	145	145	2595.5	17.9	17.9
chr1_4775696_4775796	100	100	659	6.59	6.59
chr1_4780202_4780340	138	138	1821.6	13.2	13.2
chr1_4785697_4785843	146	146	1606	11	11
chr1_4786146_4786280	134	134	661.96	4.94	4.94
chr1_4807609_4807746	137	137	1424.8	10.4	10.4
chr1_4807823_4807948	125	125	548.75	4.39	4.39
chr1_4808058_4808204	146	146	1606	11	11
chr1_4857645_4857785	140	140	9072	64.8	64.8
chr1_4858278_4858400	122	122	1039.44	8.52	8.52
chr1_4907146_4907280	134	134	809.36	6.04	6.04
chr1_4914485_4914569	84	84	299.88	3.57	3.57
chr1_5019366_5019483	117	117	1673.1	14.3	14.3
chr1_5022815_5022952	137	137	1507	11	11
chr1_5070338_5070480	142	142	975.54	6.87	6.87
chr1_5082770_5082890	120	120	922.8	7.69	7.69
chr1_5083027_5083170	143	143	3889.6	27.2	27.2
chr1_6214114_6214259	145	145	1667.5	11.5	11.5
chr1_6214287_6214418	131	131	2161.5	16.5	16.5
chr1_6214529_6214676	147	147	4601.1	31.3	31.3
chr1_6214881_6215019	138	138	1364.82	9.89	9.89
chr1_6215213_6215550	337	337	1874.56	5.5625	5.5625
chr1_6272357_6272505	148	148	2072	14	14
chr1_6382802_6382946	144	144	2606.4	18.1	18.1
chr1_6406176_6406326	150	150	1810.5	12.07	12.07
chr1_6406462_6406605	143	143	4904.9	34.3	34.3
chr1_6410210_6410357	147	147	887.88	6.04	6.04
chr1_6418064_6418185	121	121	498.52	4.12	4.12
