chr1_195132172_195132313	141	141	1119.54	7.94	7.94
chr1_4768500_4768635	135	135	803.25	5.95	5.95
chr1_4771071_4771207	136	136	1523.2	11.2	11.2
chr1_4780213_4780330	117	117	479.7	4.1	4.1
chr1_4785469_4785564	95	95	829.35	8.73	8.73
chr1_4785689_4785831	142	142	5367.6	37.8	37.8
chr1_4786130_4786277	147	147	2822.4	19.2	19.2
chr1_4808058_4808207	149	149	1123.46	7.54	7.54
chr1_4857676_4857797	121	121	12765.5	105.5	105.5
chr1_4857958_4858050	92	92	681.72	7.41	7.41
chr1_4858238_4858377	139	139	3113.6	22.4	22.4
chr1_4858518_4858661	143	143	1172.6	8.2	8.2
chr1_4873712_4873839	127	127	1008.38	7.94	7.94
chr1_4873919_4874056	137	137	1849.5	13.5	13.5
chr1_4874159_4874298	139	139	6991.7	50.3	50.3
chr1_4880627_4880766	139	139	2724.4	19.6	19.6
chr1_5082787_5082928	141	141	448.38	3.18	3.18
chr1_5083025_5083173	148	148	1702	11.5	11.5
chr1_5083276_5083551	275	275	1468.5	5.34	5.34
chr1_6214009_6214153	144	144	1085.76	7.54	7.54
chr1_6214253_6214393	140	140	3157	22.55	22.55
chr1_6214498_6214648	150	150	12570	83.8	83.8
chr1_6214857_6215007	150	150	2100	14	14
chr1_7088762_7088910	148	148	23798.4	160.8	160.8
chr1_7177639_7177788	149	149	1360.37	9.13	9.13
chr1_7397285_7397506	221	221	2645.37	11.97	11.97
chr1_7397550_7397756	206	206	17994.1	87.35	87.35
chr1_7397874_7398022	148	148	15836	107	107
chr1_9544931_9545081	150	150	1950	13	13
chr1_9545182_9545331	149	149	23437.7	157.3	157.3
chr1_9699928_9700037	109	109	634.38	5.82	5.82
chr1_9700290_9700438	148	148	5520.4	37.3	37.3
chr1_9700477_9700622	145	145	3429.25	23.65	23.65
chr1_9703189_9703335	146	146	753.36	5.16	5.16
chr1_9744965_9745107	142	142	1505.2	10.6	10.6
chr1_9747834_9747976	142	142	1462.6	10.3	10.3
chr1_9748084_9748230	146	146	1679	11.5	11.5
chr1_9748379_9748610	231	231	47863.2	207.2	207.2
chr1_9772867_9773017	150	150	3240	21.6	21.6
chr1_9776472_9776572	100	100	4660	46.6	46.6
chr1_9780518_9780622	104	104	9401.6	90.4	90.4
chr1_9783617_9783765	148	148	1864.8	12.6	12.6
chr1_9784158_9784306	148	148	1702	11.5	11.5
chr1_9784456_9784586	130	130	1664	12.8	12.8
chr1_9798096_9798243	147	147	1400.91	9.53	9.53
chr1_9799124_9799266	142	142	2967.8	20.9	20.9
chr1_9799995_9800144	149	149	2190.3	14.7	14.7
chr1_9848245_9848392	147	147	973.14	6.62	6.62
chr1_9906959_9907103	144	144	324	2.25	2.25
chr1_9944058_9944206	148	148	5860.8	39.6	39.6
chr1_9944359_9944471	112	112	385.28	3.44	3.44
chr1_9990085_9990228	143	143	662.09	4.63	4.63
chr1_10037486_10037636	150	150	1530	10.2	10.2
chr1_10037861_10038011	150	150	13575	90.5	90.5
chr1_10038114_10038257	143	143	9909.9	69.3	69.3
chr1_10039615_10039741	126	126	2986.2	23.7	23.7
chr1_10040065_10040206	141	141	3581.4	25.4	25.4
chr1_10089678_10089823	145	145	1209.3	8.34	8.34
chr1_10232090_10232415	325	325	2236	6.88	6.88
chr1_10233066_10233193	127	127	2997.2	23.6	23.6
chr1_10233319_10233418	99	99	418.77	4.23	4.23
chr1_12875594_12875734	140	140	732.2	5.23	5.23
chr1_12884234_12884384	150	150	1665	11.1	11.1
chr1_12990291_12990439	148	148	489.88	3.31	3.31
chr1_13154847_13154973	126	126	500.22	3.97	3.97
chr1_13259664_13259801	137	137	407.575	2.975	2.975
chr1_13372070_13372331	261	261	2929.29	11.2233	11.2233
chr1_13372448_13372596	148	148	17005.2	114.9	114.9
chr1_13372766_13372911	145	145	1265.85	8.73	8.73
chr1_13373318_13373459	141	141	765.63	5.43	5.43
chr1_13373686_13373836	150	150	1290	8.6	8.6
chr1_13374017_13374148	131	131	641.9	4.9	4.9
chr1_13374492_13374625	133	133	703.57	5.29	5.29
chr1_13426947_13427093	146	146	889.14	6.09	6.09
chr1_13531623_13531760	137	137	416.48	3.04	3.04
chr1_13566330_13566471	141	141	1137.87	8.07	8.07
